"id";"VillageId";"BlockId";"DistrictId";"VillageName";"plots";"phase"
"282";"282";"62";"5";"Buraka Tauru";NULL;NULL
"283";"283";"62";"5";"Cheela";NULL;NULL
"284";"284";"62";"5";"Jaurasi";"136";"2"
"285";"285";"62";"5";"Kalwari";NULL;NULL
"286";"286";"62";"5";"Mandarka";NULL;NULL
"287";"287";"62";"5";"Sehsola";NULL;NULL
"288";"288";"62";"5";"Sunari";NULL;NULL
"289";"289";"54";"3";"Lohana";NULL;NULL
"290";"290";"85";"20";"Bapoli";NULL;NULL
"291";"291";"31";"2";"Garhi Ballor";NULL;NULL
"292";"292";"31";"2";"Pasina Kalan";NULL;NULL
"293";"293";"53";"2";"Chamrada";NULL;NULL
"294";"294";"53";"2";"Hadtadi";NULL;NULL
"295";"295";"53";"2";"Naultha";NULL;NULL
"296";"296";"53";"2";"Pardana";NULL;NULL
"297";"297";"32";"2";"Rair Kalan";NULL;NULL
"298";"298";"32";"2";"Waiser";"133";"2"
"299";"299";"33";"2";"Dhodpur";NULL;NULL
"300";"300";"33";"2";"Wazirpur Titana";NULL;NULL
"301";"301";"34";"3";"Deodhai";NULL;NULL
"302";"302";"34";"3";"Jaisinghpur Khera";NULL;NULL
"303";"303";"34";"3";"Khandora";NULL;NULL
"304";"304";"34";"3";"Nangal Ugra";NULL;NULL
"305";"305";"34";"3";"Saban";NULL;NULL
"306";"306";"54";"3";"BUROLI";NULL;NULL
"307";"307";"54";"3";"NANGAL MUNDI";NULL;NULL
"308";"308";"54";"3";"SIHA";NULL;NULL
"309";"309";"35";"3";"BAGTHALA";NULL;NULL
"310";"310";"35";"3";"BHATSANA";NULL;NULL
"311";"311";"35";"3";"GHATAL MAHANIAWAS";NULL;NULL
"312";"312";"35";"3";"JARTHAL";NULL;NULL
"313";"313";"35";"3";"KASOLA";NULL;NULL
"314";"314";"35";"3";"MAHESHWARI";NULL;NULL
"315";"315";"35";"3";"MALPURA";NULL;NULL
"316";"316";"55";"3";"Kanhori";NULL;NULL
"317";"317";"55";"3";"Karawra Manakpur";NULL;NULL
"318";"318";"55";"3";"Nanglia Ranmokh";NULL;NULL
"319";"319";"55";"3";"Parkhotampur";NULL;NULL
"320";"320";"55";"3";"Rohrai";NULL;NULL
"321";"321";"56";"3";"AHROD";NULL;NULL
"322";"322";"56";"3";"BAHALKHI";NULL;NULL
"323";"323";"56";"3";"KHOL";NULL;NULL
"324";"324";"56";"3";"MAYAN";NULL;NULL
"325";"325";"56";"3";"NANGAL JAMALPUR";NULL;NULL
"326";"326";"56";"3";"TINT";NULL;NULL
"327";"327";"82";"20";"KHADRI";"106";"2"
"328";"328";"82";"20";"MANAKPUR 1";NULL;NULL
"329";"329";"82";"20";"MUKARIBPUR";NULL;NULL
"330";"330";"83";"20";"KUNJAL KAMBOYAN";"73";"2"
"331";"331";"83";"20";"SABHAPUR";NULL;NULL
"332";"332";"84";"20";"LAKAR-MAI- PARTAP PUR";NULL;NULL
"333";"333";"84";"20";"MUZAFAT KHURD";NULL;NULL
"334";"334";"85";"20";"Charri";NULL;NULL
"335";"335";"85";"20";"Radauri";"92";"2"
"336";"336";"85";"20";"Sagri";NULL;NULL
"337";"337";"85";"20";"Topra Kalan";NULL;NULL
"338";"338";"86";"20";"Kotla";NULL;NULL
"339";"339";"86";"20";"Nanheri";NULL;NULL
"340";"340";"86";"20";"Salempur";NULL;NULL
"341";"341";"47";"20";"Uncha Chandna";NULL;NULL
"342";"342";"56";"3";"MAJRA";NULL;NULL
"343";"343";"14";"8";"RAI CHANDWALA";"108";"3"
"344";"344";"52";"1";"KANGWAL";"105";"3"
"345";"345";"52";"1";"BHURANGPUR";NULL;NULL
"346";"346";"22";"19";"Bhari";"83";"3"
"347";"347";"22";"19";"Bilona";NULL;NULL
"348";"348";"22";"19";"Mundh";NULL;NULL
"349";"349";"22";"19";"Thari";NULL;NULL
"350";"350";"22";"19";"Rislawa";"50";"3"
"351";"351";"67";"11";"KANTI";NULL;NULL
"352";"352";"114";"6";"Rasulpur";"143";"3"
"353";"353";"91";"22";"Dayalpur";"201";"2"
"354";"354";"91";"22";"Chhainsa";NULL;NULL
"355";"355";"91";"22";"Sagarpur";NULL;NULL
"356";"356";"91";"22";"Piayla";NULL;NULL
"357";"357";"91";"22";"Pehladpur Majra Deeg";NULL;NULL
"358";"358";"91";"22";"Nariyal";NULL;NULL
"359";"359";"91";"22";"Hirapur";NULL;NULL
"360";"360";"91";"22";"Garkhera";NULL;NULL
"361";"361";"91";"22";"Ahamdpur";NULL;NULL
"362";"362";"91";"22";"Sikrona";NULL;NULL
"363";"363";"91";"22";"Sahapur Kalan";NULL;NULL
"364";"364";"39";"13";"Alikan";NULL;NULL
"365";"365";"39";"13";"Fatehpuria Niyamat Khan";NULL;NULL
"366";"366";"39";"13";"Malri";"130";"2"
"367";"367";"39";"13";"Dhaban";"106";"2"
"368";"368";"39";"13";"Karamgarh";"128";"2"
"369";"369";"39";"13";"Jhorar Rohi";"158";"2"
"370";"370";"39";"13";"Chatariyan";"130";"2"
"371";"371";"39";"13";"Thiraj";"109";"2"
"372";"372";"39";"13";"Saharni";"156";"2"
"373";"373";"39";"13";"Sukhchain";"115";"2"
"374";"374";"39";"13";"Rohan";"79";"2"
"375";"375";"39";"13";"Bhadra";"78";"2"
"376";"376";"39";"13";"Daulatpur Khera";NULL;NULL
"377";"377";"39";"13";"Bhiwan";"155";"2"
"378";"378";"39";"13";"Suba Khera";NULL;NULL
"379";"379";"132";"21";"Khairwali Parwala";NULL;NULL
"380";"380";"6";"18";"Kukranwali";NULL;NULL
"381";"381";"94";"18";"Khasa Pathana";"135";"2"
"382";"382";"94";"18";"Ghotru";"98";"3"
"383";"383";"103";"19";"Baraota";"86";"3"
"384";"384";"103";"19";"Agondh";NULL;NULL
"385";"385";"103";"19";"Dadupur Roran";NULL;NULL
"386";"386";"103";"19";"Manjoora";NULL;NULL
"387";"387";"103";"19";"Ghogharipur";NULL;NULL
"388";"388";"125";"13";"Lambi";"80";"2"
"389";"389";"125";"13";"Banwala";"230";"2"
"390";"390";"125";"13";"Sukherawala";NULL;NULL
"391";"391";"125";"13";"Khuiyan Malkana";NULL;NULL
"392";"392";"125";"13";"Alikan";NULL;NULL
"393";"393";"125";"13";"Kaluana";"306";"2"
"394";"394";"125";"13";"Phullo";NULL;NULL
"395";"395";"5";"17";"RASIWAS";NULL;NULL
"396";"396";"40";"13";"Menakhera";"107";"2"
"397";"397";"40";"13";"Mithanpura";NULL;NULL
"398";"398";"40";"13";"Umedpura";NULL;NULL
"399";"399";"40";"13";"Kishanpura/Dhani Jatan";"97";"2"
