PropertyAuctionId,BranchId,DistrictId,CityId,SectorId,AssetId,FlatCost,ReceivedAmount,BalanceAmount,PurchaserID,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
380209,3212,298,3276,681,162278,100000,20000,80000,179742,1,0,,1,,,544
371100,3202,288,3238,825,153169,100000,20000,80000,170633,1,0,,1,,,544
371968,3201,287,3233,696,154037,100000,20000,80000,171501,1,0,,1,,,544
374289,3208,294,3264,683,156358,100000,20000,80000,173822,1,0,,1,,,544
373272,3194,280,3200,691,155341,100000,20000,80000,172805,1,0,,1,,,544
367373,3205,291,3252,686,149442,100000,20000,80000,166906,1,0,,1,,,544
378986,3200,286,3229,691,161055,100000,10000,90000,178519,1,0,,1,,,544
378152,3192,278,3193,944,160221,100000,20000,80000,177685,1,0,,1,,,544
378214,3213,299,3279,691,160283,100000,20000,80000,177747,1,0,,1,,,544
370458,3200,286,3230,692,152527,100000,10000,90000,169991,1,0,,1,,,544
368485,3205,291,3252,686,150554,100000,20000,80000,168018,1,0,,1,,,544
367031,3213,299,3279,690,149100,100000,20000,80000,166564,1,0,,1,,,544
369502,3194,280,3200,683,151571,100000,20000,80000,169035,1,0,,1,,,544
379713,3202,288,3238,711,161782,100000,20000,80000,179246,1,0,,1,,,544
367970,3201,287,3233,686,150039,100000,20000,80000,167503,1,0,,1,,,544
369413,3213,299,3279,700,151482,100000,20000,80000,168946,1,0,,1,,,544
370921,3207,293,3259,681,152990,100000,20000,80000,170454,1,0,,1,,,544
380577,3194,280,3200,692,162646,100000,20000,80000,180110,1,0,,1,,,544
379177,3212,298,3276,709,161246,100000,10000,90000,178710,1,0,,1,,,544
376251,3213,299,3279,681,158320,100000,20000,80000,175784,1,0,,1,,,544
365562,3201,287,3233,691,147631,100000,20000,80000,165095,1,0,,1,,,544
372350,3202,288,3238,689,154419,100000,20000,80000,171883,1,0,,1,,,544
370703,3207,293,3259,683,152772,100000,20000,80000,170236,1,0,,1,,,544
373561,3205,291,3252,687,155630,100000,20000,80000,173094,1,0,,1,,,544
367827,3194,280,3200,683,149896,100000,10000,90000,167360,1,0,,1,,,544
379098,3202,288,3238,707,161167,100000,10000,90000,178631,1,0,,1,,,544
378266,3194,280,3200,683,160335,100000,10000,90000,177799,1,0,,1,,,544
378841,3194,280,3200,688,160910,100000,20000,80000,178374,1,0,,1,,,544
377380,3208,294,3264,692,159449,100000,20000,80000,176913,1,0,,1,,,544
366834,3208,294,3264,689,148903,100000,20000,80000,166367,1,0,,1,,,544
375876,3202,288,3238,711,157945,100000,20000,80000,175409,1,0,,1,,,544
371728,3212,298,3276,692,153797,100000,20000,80000,171261,1,0,,1,,,544
376326,3205,291,3252,686,158395,100000,20000,80000,175859,1,0,,1,,,544
378455,3200,286,3229,693,160524,100000,20000,80000,177988,1,0,,1,,,544
368295,3208,294,3264,689,150364,100000,20000,80000,167828,1,0,,1,,,544
372196,3208,294,3264,698,154265,100000,20000,80000,171729,1,0,,1,,,544
373775,3192,278,3193,687,155844,100000,20000,80000,173308,1,0,,1,,,544
374329,3212,298,3276,706,156398,100000,20000,80000,173862,1,0,,1,,,544
374915,3213,299,3279,695,156984,100000,20000,80000,174448,1,0,,1,,,544
376451,3208,294,3264,707,158520,100000,20000,80000,175984,1,0,,1,,,544
377226,3194,280,3200,683,159295,100000,10000,90000,176759,1,0,,1,,,544
379909,3194,280,3200,685,161978,100000,20000,80000,179442,1,0,,1,,,544
378819,3197,283,3215,975,160888,100000,20000,80000,178352,1,0,,1,,,544
376094,3208,294,3264,682,158163,100000,20000,80000,175627,1,0,,1,,,544
379638,3205,291,3252,686,161707,100000,20000,80000,179171,1,0,,1,,,544
376345,3206,292,3257,699,158414,100000,20000,80000,175878,1,0,,1,,,544
366368,3194,280,3200,699,148437,100000,20000,80000,165901,1,0,,1,,,544
376498,3212,298,3276,706,158567,100000,20000,80000,176031,1,0,,1,,,544
366102,3194,280,3200,682,148171,100000,10000,90000,165635,1,0,,1,,,544
372886,3194,280,3200,685,154955,100000,20000,80000,172419,1,0,,1,,,544
375177,3208,294,3264,684,157246,100000,20000,80000,174710,1,0,,1,,,544
375111,3205,291,3252,682,157180,100000,20000,80000,174644,1,0,,1,,,544
372033,3205,291,3252,688,154102,100000,20000,80000,171566,1,0,,1,,,544
374475,3208,294,3264,689,156544,100000,20000,80000,174008,1,0,,1,,,544
375126,3205,291,3252,690,157195,100000,20000,80000,174659,1,0,,1,,,544
376679,3213,299,3279,687,158748,100000,20000,80000,176212,1,0,,1,,,544
377949,3208,294,3264,693,160018,100000,20000,80000,177482,1,0,,1,,,544
376662,3202,288,3238,693,158731,100000,20000,80000,176195,1,0,,1,,,544
369727,3208,294,3264,686,151796,100000,20000,80000,169260,1,0,,1,,,544
367055,3202,288,3238,863,149124,100000,20000,80000,166588,1,0,,1,,,544
367889,3212,298,3276,696,149958,100000,30000,70000,167422,1,0,,1,,,544
369563,3205,291,3252,681,151632,100000,10000,90000,169096,1,0,,1,,,544
371499,3194,280,3200,686,153568,100000,20000,80000,171032,1,0,,1,,,544
379004,3194,280,3200,683,161073,100000,20000,80000,178537,1,0,,1,,,544
378219,3213,299,3279,691,160288,100000,20000,80000,177752,1,0,,1,,,544
371618,3194,280,3200,682,153687,100000,20000,80000,171151,1,0,,1,,,544
380040,3194,280,3200,690,162109,100000,10000,90000,179573,1,0,,1,,,544
374039,3206,292,3257,687,156108,100000,10000,90000,173572,1,0,,1,,,544
368657,3208,294,3264,685,150726,100000,20000,80000,168190,1,0,,1,,,544
367587,3213,299,3279,682,149656,100000,20000,80000,167120,1,0,,1,,,544
375460,3213,299,3279,690,157529,100000,20000,80000,174993,1,0,,1,,,544
369710,3199,285,3221,682,151779,100000,20000,80000,169243,1,0,,1,,,544
378119,3206,292,3257,683,160188,100000,20000,80000,177652,1,0,,1,,,544
367772,3202,288,3238,851,149841,100000,20000,80000,167305,1,0,,1,,,544
378302,3205,291,3252,695,160371,100000,20000,80000,177835,1,0,,1,,,544
380125,3205,291,3252,700,162194,100000,10000,90000,179658,1,0,,1,,,544
374476,3208,294,3264,692,156545,100000,20000,80000,174009,1,0,,1,,,544
377167,3199,285,3221,701,159236,100000,20000,80000,176700,1,0,,1,,,544
366986,3194,280,3200,689,149055,100000,20000,80000,166519,1,0,,1,,,544
380273,3200,286,3230,690,162342,100000,20000,80000,179806,1,0,,1,,,544
367371,3202,288,3238,704,149440,100000,20000,80000,166904,1,0,,1,,,544
374825,3201,287,3233,702,156894,100000,20000,80000,174358,1,0,,1,,,544
368507,3208,294,3264,694,150576,100000,20000,80000,168040,1,0,,1,,,544
373540,3205,291,3252,688,155609,100000,20000,80000,173073,1,0,,1,,,544
373891,3194,280,3200,683,155960,100000,20000,80000,173424,1,0,,1,,,544
369464,3205,291,3252,681,151533,100000,20000,80000,168997,1,0,,1,,,544
377963,3208,294,3264,696,160032,100000,20000,80000,177496,1,0,,1,,,544
368060,3199,285,3221,682,150129,100000,20000,80000,167593,1,0,,1,,,544
368037,3208,294,3264,686,150106,100000,20000,80000,167570,1,0,,1,,,544
374980,3206,292,3257,692,157049,100000,20000,80000,174513,1,0,,1,,,544
365431,3212,298,3276,684,147500,100000,20000,80000,164964,1,0,,1,,,544
370309,3194,280,3200,683,152378,100000,20000,80000,169842,1,0,,1,,,544
369775,3205,291,3252,694,151844,100000,20000,80000,169308,1,0,,1,,,544
369607,3207,293,3259,682,151676,100000,20000,80000,169140,1,0,,1,,,544
371681,3206,292,3257,697,153750,100000,20000,80000,171214,1,0,,1,,,544
378822,3194,280,3200,686,160891,100000,20000,80000,178355,1,0,,1,,,544
371438,3194,280,3200,690,153507,100000,10000,90000,170971,1,0,,1,,,544
366992,3208,294,3264,681,149061,100000,20000,80000,166525,1,0,,1,,,544
367762,3212,298,3276,709,149831,100000,20000,80000,167295,1,0,,1,,,544
378431,3197,283,3215,681,160500,100000,40000,60000,177964,1,0,,1,,,544
367169,3212,298,3276,688,149238,100000,20000,80000,166702,1,0,,1,,,544
374619,3208,294,3264,688,156688,100000,20000,80000,174152,1,0,,1,,,544
375557,3202,288,3238,687,157626,100000,20000,80000,175090,1,0,,1,,,544
377093,3205,291,3252,692,159162,100000,20000,80000,176626,1,0,,1,,,544
367165,3200,286,3229,684,149234,100000,10000,90000,166698,1,0,,1,,,544
370141,3208,294,3264,694,152210,100000,20000,80000,169674,1,0,,1,,,544
369326,3205,291,3252,688,151395,100000,20000,80000,168859,1,0,,1,,,544
373289,3199,285,3221,695,155358,100000,20000,80000,172822,1,0,,1,,,544
374978,3202,288,3238,681,157047,100000,10000,90000,174511,1,0,,1,,,544
379156,3212,298,3276,690,161225,100000,20000,80000,178689,1,0,,1,,,544
375897,3206,292,3257,687,157966,100000,20000,80000,175430,1,0,,1,,,544
376931,3194,280,3200,692,159000,100000,20000,80000,176464,1,0,,1,,,544
375512,3208,294,3264,707,157581,100000,20000,80000,175045,1,0,,1,,,544
378518,3208,294,3264,684,160587,100000,20000,80000,178051,1,0,,1,,,544
