AssociationId,BranchId,CityId,SectorId,Is_Active,Is_Deleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
8784,3195,3204,691,1,0,9/13/2024,,,,544
8785,3195,3204,692,1,0,9/13/2024,,,,544
8786,3195,3204,693,1,0,9/13/2024,,,,544
8787,3195,3204,694,1,0,9/13/2024,,,,544
8788,3195,3204,695,1,0,9/13/2024,,,,544
8789,3195,3204,957,1,0,9/13/2024,,,,544
8790,3195,3205,681,1,0,9/13/2024,,,,544
8791,3195,3205,682,1,0,9/13/2024,,,,544
8792,3195,3205,683,1,0,9/13/2024,,,,544
8793,3195,3205,684,1,0,9/13/2024,,,,544
8794,3195,3205,685,1,0,9/13/2024,,,,544
8795,3195,3205,686,1,0,9/13/2024,,,,544
8796,3195,3205,687,1,0,9/13/2024,,,,544
8797,3195,3205,908,1,0,9/13/2024,,,,544
8798,3196,3206,681,1,0,9/13/2024,,,,544
8799,3196,3206,682,1,0,9/13/2024,,,,544
8800,3196,3206,683,1,0,9/13/2024,,,,544
8801,3196,3206,684,1,0,9/13/2024,,,,544
8802,3196,3206,685,1,0,9/13/2024,,,,544
8803,3196,3206,686,1,0,9/13/2024,,,,544
8804,3196,3206,687,1,0,9/13/2024,,,,544
8805,3196,3206,688,1,0,9/13/2024,,,,544
8806,3196,3206,689,1,0,9/13/2024,,,,544
8807,3196,3206,690,1,0,9/13/2024,,,,544
8808,3196,3206,691,1,0,9/13/2024,,,,544
8809,3196,3206,692,1,0,9/13/2024,,,,544
8810,3196,3206,693,1,0,9/13/2024,,,,544
8811,3196,3206,694,1,0,9/13/2024,,,,544
8812,3196,3206,695,1,0,9/13/2024,,,,544
8813,3196,3206,696,1,0,9/13/2024,,,,544
8814,3196,3206,697,1,0,9/13/2024,,,,544
8815,3196,3207,681,1,0,9/13/2024,,,,544
8816,3196,3207,682,1,0,9/13/2024,,,,544
8817,3196,3207,683,1,0,9/13/2024,,,,544
8818,3196,3207,684,1,0,9/13/2024,,,,544
8819,3196,3207,685,1,0,9/13/2024,,,,544
8820,3196,3207,686,1,0,9/13/2024,,,,544
8821,3196,3207,687,1,0,9/13/2024,,,,544
8822,3196,3207,688,1,0,9/13/2024,,,,544
8823,3196,3207,689,1,0,9/13/2024,,,,544
8824,3196,3207,690,1,0,9/13/2024,,,,544
8825,3196,3207,691,1,0,9/13/2024,,,,544
8826,3196,3207,692,1,0,9/13/2024,,,,544
8827,3196,3207,693,1,0,9/13/2024,,,,544
8828,3196,3207,694,1,0,9/13/2024,,,,544
8829,3196,3207,695,1,0,9/13/2024,,,,544
8830,3196,3207,696,1,0,9/13/2024,,,,544
8831,3196,3207,697,1,0,9/13/2024,,,,544
8832,3196,3207,698,1,0,9/13/2024,,,,544
8833,3196,3207,699,1,0,9/13/2024,,,,544
8834,3196,3207,700,1,0,9/13/2024,,,,544
8835,3196,3207,701,1,0,9/13/2024,,,,544
8836,3196,3207,702,1,0,9/13/2024,,,,544
8837,3196,3207,703,1,0,9/13/2024,,,,544
8838,3196,3207,704,1,0,9/13/2024,,,,544
8839,3196,3207,705,1,0,9/13/2024,,,,544
8840,3196,3207,706,1,0,9/13/2024,,,,544
8841,3196,3207,707,1,0,9/13/2024,,,,544
8842,3196,3207,708,1,0,9/13/2024,,,,544
