AssetId,AssetName,AssetSize,Unit,BranchId,DistrictId,CityId,SectorId,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
154034,SD8_E-10,30,Sq. Yards,3200,286,3230,687,1,0,,1,,,544
154502,RW18.2-2607,30,Sq. Yards,3208,294,3264,710,1,0,,1,,,544
154761,RW27.28.26PII_E-496,30,Sq. Yards,3205,291,3252,696,1,0,,1,,,544
155702,GO16_E-68,30,Sq. Yards,3199,285,3221,693,1,0,,1,,,544
156372,JG23_775,30,Sq. Yards,3194,280,3200,698,1,0,,1,,,544
157308,CD9_E-272,30,Sq. Yards,3213,299,3279,682,1,0,,1,,,544
159507,PJ28.3_E-57,30,Sq. Yards,3192,278,3193,944,1,0,,1,,,544
159714,PJ28.1_E-98,30,Sq. Yards,3192,278,3193,944,1,0,,1,,,544
160450,SSPIII20_E-456,30,Sq. Yards,3202,288,3238,705,1,0,,1,,,544
160516,JG23_1246,30,Sq. Yards,3194,280,3200,699,1,0,,1,,,544
147651,SSPIII20_E-70,30,Sq. Yards,3202,288,3238,682,1,0,,1,,,544
149491,PW21_850,30,Sq. Yards,3212,298,3276,691,1,0,,1,,,544
149908,JG23_289,30,Sq. Yards,3194,280,3200,692,1,0,,1,,,544
150795,SSPIII20_E-95,30,Sq. Yards,3202,288,3238,681,1,0,,1,,,544
150893,RW18.2-2592,30,Sq. Yards,3208,294,3264,688,1,0,,1,,,544
151463,JG23_2282,30,Sq. Yards,3194,280,3200,693,1,0,,1,,,544
151529,RW27.28.26PII_E-216,30,Sq. Yards,3205,291,3252,700,1,0,,1,,,544
152582,RW18.2-3242,30,Sq. Yards,3208,294,3264,689,1,0,,1,,,544
153403,JG22.2_E-750,30,Sq. Yards,3194,280,3200,694,1,0,,1,,,544
153452,RW18.2-3701,30,Sq. Yards,3208,294,3264,688,1,0,,1,,,544
154003,RW18.2-3342,30,Sq. Yards,3208,294,3264,683,1,0,,1,,,544
154152,RW27.28.26PII_E-1155,30,Sq. Yards,3205,291,3252,682,1,0,,1,,,544
154837,JG23_1814,30,Sq. Yards,3194,280,3200,696,1,0,,1,,,544
155205,RW18.2-3629,30,Sq. Yards,3208,294,3264,698,1,0,,1,,,544
155775,PJ28.1_E-148,30,Sq. Yards,3192,278,3193,935,1,0,,1,,,544
155875,RW18.2-3131,30,Sq. Yards,3208,294,3264,686,1,0,,1,,,544
156275,PJ28.2_E-37,30,Sq. Yards,3192,278,3193,944,1,0,,1,,,544
156660,GO13.14_117,30,Sq. Yards,3199,285,3221,684,1,0,,1,,,544
157279,SSPIII20_E-155,30,Sq. Yards,3202,288,3238,693,1,0,,1,,,544
158213,RW27.28.26PII_E-847,30,Sq. Yards,3205,291,3252,690,1,0,,1,,,544
158617,JR6_E-54,30,Sq. Yards,3206,292,3257,688,1,0,,1,,,544
159500,PW21_75,30,Sq. Yards,3212,298,3276,685,1,0,,1,,,544
160687,PW21_480,30,Sq. Yards,3212,298,3276,706,1,0,,1,,,544
160887,MG9.10.3_E-68,30,Sq. Yards,3207,293,3259,693,1,0,,1,,,544
161257,KN32_347,30,Sq. Yards,3197,283,3215,694,1,0,,1,,,544
161342,SD8_E-177,30,Sq. Yards,3200,286,3230,688,1,0,,1,,,544
161357,JR6_E-102,30,Sq. Yards,3206,292,3257,689,1,0,,1,,,544
161589,RW18.2-3037,30,Sq. Yards,3208,294,3264,685,1,0,,1,,,544
161840,JG23_1383,30,Sq. Yards,3194,280,3200,701,1,0,,1,,,544
148076,RW18.2-3452,30,Sq. Yards,3208,294,3264,711,1,0,,1,,,544
149237,SD8_E-212,30,Sq. Yards,3200,286,3230,681,1,0,,1,,,544
149394,SSPIII20_E-816,30,Sq. Yards,3202,288,3238,690,1,0,,1,,,544
150809,RW18.2-3245,30,Sq. Yards,3208,294,3264,691,1,0,,1,,,544
151995,PJ28.3_E-150,30,Sq. Yards,3192,278,3193,699,1,0,,1,,,544
152527,SD8_E-19,30,Sq. Yards,3200,286,3230,692,1,0,,1,,,544
152702,RW18.2-3522,30,Sq. Yards,3208,294,3264,689,1,0,,1,,,544
153088,SSPIII20_E-460,30,Sq. Yards,3202,288,3238,703,1,0,,1,,,544
153163,CD9_E-432,30,Sq. Yards,3213,299,3279,690,1,0,,1,,,544
154049,RW27.28.26PII_E-870,30,Sq. Yards,3205,291,3252,702,1,0,,1,,,544
154299,RW27.28.26PII_E-1223,30,Sq. Yards,3205,291,3252,682,1,0,,1,,,544
154792,SSPIII20_E-260,30,Sq. Yards,3202,288,3238,682,1,0,,1,,,544
155028,PWAP_E-509,30,Sq. Yards,3212,298,3276,708,1,0,,1,,,544
155178,KN9.32_E-20,30,Sq. Yards,3197,283,3215,681,1,0,,1,,,544
155378,RW27.28.26PII_E-1347,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
155410,PWAP_E-399,30,Sq. Yards,3212,298,3276,695,1,0,,1,,,544
155428,JG23_2192,30,Sq. Yards,3194,280,3200,681,1,0,,1,,,544
155460,PWAP_E-328,30,Sq. Yards,3212,298,3276,768,1,0,,1,,,544
155653,PWAP_E-374,30,Sq. Yards,3212,298,3276,768,1,0,,1,,,544
155921,RW27.28.26PII_E-5,30,Sq. Yards,3205,291,3252,702,1,0,,1,,,544
156321,RW18.2-2306,30,Sq. Yards,3208,294,3264,681,1,0,,1,,,544
156621,JG22.2_E-157,30,Sq. Yards,3194,280,3200,697,1,0,,1,,,544
156682,RW18.2-3571,30,Sq. Yards,3208,294,3264,687,1,0,,1,,,544
157014,RW36A_E-175,30,Sq. Yards,3205,291,3252,701,1,0,,1,,,544
157293,RW27.28.26PII_E-807,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
159222,JG23_1321,30,Sq. Yards,3194,280,3200,696,1,0,,1,,,544
159447,PWAP_E-113,30,Sq. Yards,3212,298,3276,695,1,0,,1,,,544
160283,CD1B_E-56,30,Sq. Yards,3213,299,3279,691,1,0,,1,,,544
160308,SSPIII20_E-383,30,Sq. Yards,3202,288,3238,700,1,0,,1,,,544
161619,PW21_921,30,Sq. Yards,3212,298,3276,681,1,0,,1,,,544
161944,RK5_E-168,30,Sq. Yards,3205,291,3252,686,1,0,,1,,,544
147810,KN9.32_E-153,30,Sq. Yards,3197,283,3215,975,1,0,,1,,,544
147910,RW18.2-3359,30,Sq. Yards,3208,294,3264,704,1,0,,1,,,544
147978,JG23_2098,30,Sq. Yards,3194,280,3200,692,1,0,,1,,,544
149264,RW27.28.26PII_E-1064,30,Sq. Yards,3205,291,3252,700,1,0,,1,,,544
149782,RW18.2-2291,30,Sq. Yards,3208,294,3264,708,1,0,,1,,,544
150135,PWAP_E-443,30,Sq. Yards,3212,298,3276,705,1,0,,1,,,544
